Table: Table A.4: SPEM Models: 2002-2009

|            |      ICEWS       |       GED        |      CINEP       | ICEWS - Underreporing | GED - Underreporting |
|:-----------|:----------------:|:----------------:|:----------------:|:---------------------:|:--------------------:|
|(Intercept) |      -5.475      |      -5.272      |      -6.850      |        -4.471         |        -4.222        |
|(Intercept) | [-6.057, -4.893] | [-5.319, -5.224] | [-6.988, -6.712] |   [-4.633, -4.309]    |   [-4.372, -4.073]   |
|dist        |      0.192       |      0.091       |      0.283       |         0.213         |        0.203         |
|dist        | [ 0.139,  0.245] | [ 0.071,  0.112] | [ 0.273,  0.294] |   [ 0.179,  0.246]    |   [ 0.165,  0.240]   |
|pop         |      0.346       |      0.360       |      0.439       |         0.221         |        0.191         |
|pop         | [ 0.289,  0.403] | [ 0.359,  0.361] | [ 0.429,  0.448] |   [ 0.211,  0.231]    |   [ 0.169,  0.212]   |
|tri         |      0.001       |      0.007       |      0.009       |         0.005         |        0.005         |
|tri         | [ 0.001,  0.002] | [ 0.006,  0.008] | [ 0.009,  0.010] |   [ 0.004,  0.006]    |   [ 0.005,  0.006]   |
|rho         |      0.347       |      0.492       |      0.684       |         0.579         |        0.493         |
|rho         | [ 0.335,  0.360] | [ 0.479,  0.506] | [ 0.665,  0.702] |   [ 0.559,  0.599]    |   [ 0.471,  0.515]   |
|loglik      |     436.898      |     431.704      |     494.029      |        467.298        |       446.376        |
|n           |       1116       |       1116       |       1116       |         1116          |         1116         |
