Table: Table A.3: Probits: 2002-2009

|            |      ICEWS       |       GED        |      CINEP       | ICEWS - Underreporing | GED - Underreporting |
|:-----------|:----------------:|:----------------:|:----------------:|:---------------------:|:--------------------:|
|(Intercept) |      -5.275      |      -4.834      |      -5.598      |        -3.920         |        -3.875        |
|(Intercept) | [-6.502, -4.049] | [-5.976, -3.692] | [-6.606, -4.590] |   [-4.885, -2.956]    |   [-4.895, -2.855]   |
|dist        |      0.187       |      0.088       |      0.233       |         0.190         |        0.189         |
|dist        | [ 0.040,  0.334] | [-0.038,  0.213] | [ 0.125,  0.341] |   [ 0.078,  0.302]    |   [ 0.067,  0.311]   |
|pop         |      0.332       |      0.329       |      0.357       |         0.192         |        0.174         |
|pop         | [ 0.248,  0.417] | [ 0.248,  0.409] | [ 0.280,  0.434] |   [ 0.120,  0.263]    |   [ 0.102,  0.245]   |
|tri         |      0.001       |      0.006       |      0.008       |         0.004         |        0.005         |
|tri         | [-0.003,  0.006] | [ 0.002,  0.010] | [ 0.004,  0.011] |   [ 0.000,  0.008]    |   [ 0.001,  0.009]   |
|loglik      |     -445.257     |     -456.720     |     -585.001     |       -515.653        |       -470.937       |
|n           |       1116       |       1116       |       1116       |         1116          |         1116         |
